folder_name,market,report_length
NASDAQ_IOSP_2016,NASDAQ,67351
NASDAQ_SNPS_2021,NASDAQ,148108
NASDAQ_CREE_2018,NASDAQ,82485
NASDAQ_AY_2018,NASDAQ,216556
NASDAQ_COMM_2017,NASDAQ,72859
NASDAQ_CBOE_2019,NASDAQ,34949
NASDAQ_FARM_2017,NASDAQ,48975
NASDAQ_Z_2021,NASDAQ,91476
NASDAQ_NCLH_2019,NASDAQ,81506
NASDAQ_PENN_2021,NASDAQ,73617
NASDAQ_ANSS_2021,NASDAQ,84609
NASDAQ_PEGI_2022,NASDAQ,152345
NASDAQ_FLIR_2020,NASDAQ,51318
NASDAQ_MYL_2017,NASDAQ,180684
NASDAQ_KALU_2021,NASDAQ,147334
NASDAQ_AAL_2008,NASDAQ,151379
NASDAQ_Z_2018,NASDAQ,42220
NASDAQ_CEQP_2021,NASDAQ,89815
NASDAQ_TXN_2018,NASDAQ,27830
NASDAQ_TETY_2021,NASDAQ,97078
NASDAQ_FISV_2020,NASDAQ,17155
NASDAQ_MSEX_2020_2021,NASDAQ,156068
NASDAQ_INFN_2017,NASDAQ,72409
NASDAQ_BIIB_2015,NASDAQ,181168
NASDAQ_SONO_2019,NASDAQ,19304
NASDAQ_CINF_2018,NASDAQ,44803
NASDAQ_CRMT_2020_2021,NASDAQ,81985
NASDAQ_AEGN_2015,NASDAQ,29294
NASDAQ_CTXS_2018,NASDAQ,23837
NASDAQ_EXLS_2021,NASDAQ,124435
NASDAQ_AY_2020,NASDAQ,395163
NASDAQ_AMGN_2016,NASDAQ,52218
NASDAQ_FITB_2020,NASDAQ,389630
NASDAQ_GPRE_2020,NASDAQ,142931
NASDAQ_QRVO_2019,NASDAQ,17444
NASDAQ_PFG_2021,NASDAQ,206299
NASDAQ_VEON_2018,NASDAQ,161224
NASDAQ_BLDP_2021,NASDAQ,53082
NASDAQ_DLTR_2020,NASDAQ,36916
NASDAQ_ICFI_2013,NASDAQ,91589
